Patient,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
RIDER-1129164940-POST,0.9174341060654174,0.7649402390438258,0.9113177299645547,-0.9991118618204098,-1.0,0.8734953721750585,0.3918918918918921,0.9724873190557118,-0.9792851943679333,0.9898477157360405,-1.0,0.3918918918918912,-0.9879945535805856,-0.9923453597539367,-0.9500267437974643,0.9909662051157961,0.9999999999999996,-0.9960736680115443,0.982578147649015,0.32256855231976544,-0.8730037544470628,-1.0,-0.9999999999999999,0.9790940380812829,-1.0,-1.0,-0.9999999999999998,1.0,0.9999999999999996,0.9497703255572105,0.9488895907462869,0.9920091632942352,-0.9838497848832257,1.0,0.9857198855027445,1.0,-1.0,0.3192937919926262,1.0,0.9857198855027551,-1.0,-1.0,0.9600458253606874,0.8913202226683814,-1.0,0.9416508875588634,0.9116550506864542,-0.9945596183883811,0.9673252290012675,0.9872373634325242,1.0,-0.20594513730907726,-1.0000000000000002,-0.9929863497184925,-0.9999999999999996,-0.9842981635343517,0.9066460087140145,1.0000000000000004,-0.974311644038798,0.9611024128797716,1.0000000000000018,0.9863416149676683,-0.8141459246381473,-1.0000000000000002,-0.9881259000026645,0.9020012330495399,-1.0,-1.0,0.9999109309725456,-1.0,0.9522276346813827,-0.9999999999999999,0.880150323954692,0.9356261248927531,-0.2673110738493296,0.8808189968137032,0.9999999999999998,1.0,0.9999999999999998,-0.9734634643678604,0.9312285865180547,-0.9084312301385138,-0.8972867192435015,0.9224840523669755,-0.9125067902156707,0.9344367355219099,-1.0,1.0,0.9815928408538599,-0.999286878198322,-1.0,-0.9611400565485827,-1.0,-0.12184601786583471,0.6642684367150338,0.9484363836348453,1.0,1.0,1.0,1.0,1.0,0.981645110904322,1.0,-1.0,0.9999999999999998,-0.9670726873209466,0.9811889790633834
RIDER-1129164940-PRE,1.0,0.8446215139442241,1.0,-1.0,-0.9922854387656701,0.9999999999999996,1.0,1.0,-1.0,0.9999999999999998,-1.0,1.0,-1.0,-0.9999999999999996,-1.0,1.0,0.9834621297871791,-1.0,1.0,0.7419136297250493,-1.0,-0.9750054868559852,-0.9930732489571175,1.0,-0.9889588644546055,-0.9833972113103826,-0.9942739664708888,0.9749135935658719,0.9705529028799509,1.0,1.0,1.0,-1.0,0.9613220803988272,1.0,0.9169033010510295,-0.9477534054095962,0.4040110762552729,0.9251242895433149,1.0,-0.9807923959673417,-0.983099921237492,1.0,0.9999999999999998,-0.9908495505243344,1.0000000000000004,1.0000000000000002,-1.0,1.0,1.0000000000000002,0.9723847327614679,1.0,-0.7475672808766423,-1.0,-0.9683817282426919,-1.0,1.0,0.9922768083365416,-1.0,1.0,0.998937069890621,1.0,-0.18260203499315386,-0.8500385681667837,-1.0,1.0,-0.9983363522617665,-0.9964469640506763,1.0,-0.999021994291553,1.0000000000000009,-0.9132012978710895,1.0,0.9999999999999991,-0.37912273496724413,1.0,0.331330905472915,0.3190724092653805,0.9618037918937952,-0.9999999999999998,1.0,-1.0,-1.0,1.0,-0.9999999999999998,1.0,-0.9944848346978903,0.32969341997596713,1.0,-0.9999999999999999,-0.6968997489580655,-1.0,-0.9999978420416464,-0.002318308303435046,1.0,1.0,0.9398641117957767,0.9458387773429915,0.9541567618627762,0.9416521852771305,0.980027426226715,1.0,0.9674913239625238,-0.4754151880054813,0.916752416065955,-1.0,0.9999999999999998
RIDER-1225316081-POST,-0.30009526833915556,-1.0,-1.0,0.47942677218826546,0.5004821600771456,-0.8003775773019459,-1.0,-0.9027699457295308,0.16268710856482027,-1.0,-1.0,-1.0,0.33624014666419955,0.4109976531895132,0.9007796386399344,-1.0,-0.6714096021295799,-0.16660091749195294,-0.9502876604549062,-1.0,1.0000000000000002,-0.06644361345701633,0.046619649021326204,-0.5495975719005486,0.2861375059243927,0.36639844862279425,-0.14495556866497594,-0.5863153855490801,-0.6349069411844326,-0.4427699226731079,-0.6097783603388223,-0.8459272097533903,0.9410025156162449,-0.6001349396669746,-0.9181135796314148,-0.7225256534311053,0.15619855446604092,1.0,-0.614875087044215,-0.9181135796314184,0.5324567947695016,-0.01579079027021635,-1.0,-1.0,0.5747924149201555,-0.8531763722922129,-0.9993704597840776,-0.16490347334704847,-1.0,-0.8445815745172058,-0.9040276785514741,-1.0,-0.8225473409160495,0.6262659517229858,0.23944916857912624,-0.39960707159742004,-0.9993528819893454,-0.6502010518146122,-0.19119397518433123,-1.0,-0.8073659227425836,-0.9906503307782377,-1.0,-0.7594787440850317,0.29813219893727805,-1.0,0.7787169356981529,0.7898295295349058,-0.8155363295714615,0.788358442331976,-1.0,-0.6951050270713397,-0.9995590019522617,0.13328426610064792,-1.0,-1.0,-0.9993208921111915,-0.9995308849324627,-1.0,-0.7664772298086897,-1.0,0.3493404445701227,0.40479827159877857,-1.0,-0.7330891851805095,-1.0,0.6959177593397392,-0.9996121675094357,-1.0,1.0000000000000002,-0.4035526982218629,0.025999414084916905,0.9999999999999998,-1.0,-0.7872321677958167,-0.9817722255050185,-0.9974737852297106,-0.9999999999999999,-0.9947381099920846,-1.0,-0.9928176861812021,-1.0,-1.0,1.0,-1.0,0.9999999999999998,-1.0
RIDER-1225316081-PRE,-1.0,1.0,-0.9884048402932695,1.0,1.0,-1.0000000000000002,0.8513513513513509,-1.0,1.0,-0.9949238578680204,-1.0,0.8513513513513509,1.0,1.0000000000000009,0.9999999999999999,-0.9793636041497077,-1.0000000000000002,1.0000000000000004,-1.0,1.0,0.6694784582210199,1.0000000000000004,1.0000000000000004,-1.0,1.0,1.0,1.0000000000000004,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0,-0.9999999999999991,-1.0,-1.0,1.0,1.0,-0.36240200474339446,-0.9935984778005261,1.0,-1.0,-1.0,1.0,-0.9201746832438609,-1.0,-1.0,-0.7215963115612889,0.9999999999999996,0.9999999999999996,1.0,1.0000000000000002,-1.0,-1.0,1.0000000000000004,-0.9143773651968221,-1.0,-1.0,1.0,0.9999999999999996,1.0,-0.998229756799338,1.0,1.0,-0.9999999999999999,1.0,-0.8715276839271198,1.0000000000000004,-1.0,-1.0,1.0,-0.7322153941002139,-1.0,-1.0,-0.965628999674435,1.0000000000000004,-0.9903910572096924,1.0,1.0,0.5933953071292297,1.0,-0.7296578552571198,1.0,-0.9999999999999999,-0.9937439026874105,0.7517299820594774,1.0,0.9999999999999996,0.7538352026842325,1.0000000000000018,-1.0,-1.0,-0.9999999999999999,-0.9084625977477268,-1.0,-0.9721564446807337,-1.0,-0.9968987744416175,-0.8953319189758744,0.6593040710979494,-0.9893446410912208,0.9455356386640095,-0.9969400683734102
